Mobiles,Colors,Price in Rupees,Off(%),Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Display,Secondary_Camera(MP),Primary_Camera(MP),Battery_details,Warranty(Year),Rating
RealmeC2,DiamondBlack,5999,14,2 GB  , 16 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.5
RealmeC2,DiamondBlue,5999,14,2 GB  , 16 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.5
SamsungGalaxyOnNxt,Gold,8990,49,3 GB  , 64 GB  ,  256 GB,yes,5.5,FullHDDisplay,8,13,3300,1,4.3
OPPOA37f,Grey,10000,10,2 GB  , 16 GB  ,  128 GB,yes,5,HDDisplay,5,8,2630,1,4.2
OPPOA71,Gold,10000,10,3 GB  , 16 GB  ,  256 GB,yes,5.2,HDDisplay,5,13,3000,1,4.2
OPPOA71,Black,9800,25,3 GB  , 16 GB  ,  256 GB,yes,5.2,HDDisplay,5,13,3000,1,4.2
OPPOA71NewEdition,Black,9799,10,3 GB  , 16 GB  ,  256 GB,yes,5.2,HDDisplay,5,13,3000,1,4.4
OPPONeo74G,Black,10000,10,1 GB  , 16 GB  ,  32 GB,yes,5,HDDisplay,5,8,2420,0,3.8
OPPOA1K,Red,7990,27,2 GB  , 32 GB  ,  256 GB,yes,6.1,NA,5,8,4000,1,4.4
OPPOA3s,Purple,10990,21,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA3s,Red,10990,21,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOK1,PianoBlack,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
OPPOK1,AstralBlue,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
SamsungGalaxyOnNxt,Black,8990,49,3 GB  , 64 GB  ,  256 GB,yes,5.5,FullHDDisplay,8,13,3300,1,4.3
RedmiNote7Pro,NeptuneBlue,13999,12,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.5
RedmiNote7Pro,SpaceBlack,13999,12,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.5
RedmiNote7Pro,NeptuneBlue,16999,5,6 GB  , 128 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.5
RedmiNote7Pro,SpaceBlack,16999,5,6 GB  , 128 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.5
Realme3,DynamicBlack,10999,15,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.4
Realme3,RadiantBlue,9999,16,3 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.5
OPPOA3s,Red,9990,28,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA3s,Purple,9990,28,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA1K,Black,7990,27,2 GB  , 32 GB  ,  256 GB,yes,6.1,NA,5,8,4000,1,4.4
OPPOA83,Champagne,8990,10,2 GB  , 16 GB  ,  256 GB,yes,5.7,HDDisplay,8,13,3180,1,4.2
OPPOA83,Red,8990,10,2 GB  , 16 GB  ,  256 GB,yes,5.7,HDDisplay,8,13,3180,1,4.2
OPPOA71k,NewEdition,8620,10,3 GB  , 16 GB  ,  256 GB,yes,5.2,HDDisplay,5,13,3000,1,4.4
OPPOA71k,NewEdition,10990,10,3 GB  , 16 GB  ,  256 GB,yes,5.2,HDDisplay,5,13,3000,1,4.4
OPPOA37f,Gold,9990,10,2 GB  , 16 GB  ,  128 GB,yes,5,HDDisplay,5,8,2630,0,4.2
RedmiNote7S,SapphireBlue,10999,8,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.4
Realme3,RadiantBlue,8999,18,3 GB  , 32 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.5
Realme3,RadiantBlue,10999,15,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.4
Realme3,DynamicBlack,8999,18,3 GB  , 32 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.5
RealmeC2,DiamondBlack,7999,11,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.4
RealmeC2,DiamondBlue,7999,11,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.4
AppleiPhoneX,SpaceGray,59999,34,64 GB  ,NA,  256 GB,yes,5.8,SuperRetinaHDDisplay,5,12 + 12 ,3000,1,4.6
AsusZenfoneMaxProM1,Grey,8499,34,4 GB  , 64 GB  ,  2 TB,yes,5.99,FullHD,8,13 + 5 ,5000,1,4.3
Realme3Pro,LightningPurple,15999,11,6 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
Realme3Pro,LightningPurple,16999,15,6 GB  , 128 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
Realme3Pro,LightningPurple,13999,12,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
RedmiY2,Blue,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
AppleiPhoneX,Silver,59999,34,64 GB  ,NA,  256 GB,yes,5.8,SuperRetinaHDDisplay,16,12 + 12 ,4000,1,4.6
Redmi6,Blue,6999,22,3 GB  , 32 GB  ,  256 GB,yes,5.45,HD,5,12 + 5 ,3000,1,4.4
OPPOF11,FluoritePurple,17990,18,4 GB  , 128 GB  ,  256 GB,yes,6.53,NA,16,48 + 5 ,4020,1,4.4
OPPOF11,MarbleGreen,17990,18,4 GB  , 128 GB  ,  256 GB,yes,6.53,NA,16,48 + 5 ,4020,1,4.4
OPPOF11Pro,ThunderBlack,23990,20,6 GB  , 128 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
OPPOF11Pro,AuroraGreen,23990,20,6 GB  , 128 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
OPPOF11Pro,ThunderBlack,20990,27,6 GB  , 64 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
OPPOF11Pro,AuroraGreen,20990,27,6 GB  , 64 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
KekaiSparkGio,Black,3945,60,1 GB  , 16 GB  ,  64 GB,yes,5.5,HDDisplay,2,5,2200,0,3.7
KarbonnK9SmartYUVA,Coffee&Champagne,3880,60,1 GB  , 8 GB  ,  64 GB,yes,5,NA,2,5,2300,0,3.5
ItelA23,GradationRed,3999,20,1 GB  , 8 GB  ,  32 GB,yes,5,FWVGADisplay,0,2,2050,0,4
ItelA23,ChampagneGold,3959,1,1 GB  , 8 GB  ,  32 GB,yes,5,NA,0,2,2050,0,4
ItelA23,PhantomBlack,3959,1,1 GB  , 8 GB  ,  32 GB,yes,5,FWVGADisplay,0,2,2050,0,4
MicromaxQ402+,Black,3250,24,1 GB  , 8 GB  ,  32 GB,yes,4,NA,0,5,1700,0,3.8
MobiistarC1Lite,Black,3699,2,1 GB  , 8 GB  ,  32 GB,yes,5.34,NADisplay,5,5,2700,0,4.1
MicromaxBharat2Plus,Blue,3699,26,1 GB  , 8 GB  ,  32 GB,yes,4,NA,5,5,1600,0,3.6
MicromaxVdeo3,Champagne,3999,30,1 GB  , 8 GB  ,  32 GB,yes,5,HDDisplay,2,5,2000,1,4
VOTOV12,Black,3897,43,2 GB  , 16 GB  ,  32 GB,yes,5,HDDisplay,5,13,3000,1,3.3
ComioC2Lite,RoyalBlack,4699,9,1.5 GB  , 16 GB  ,  128 GB,yes,5,HDDisplay,5,8,3900,0,3.8
IntexInfie33,LakeBlue,3860,9,1 GB  , 8 GB  ,  32 GB,yes,5.34,NA,5,5,3000,0,3.7
OPPOA5s,Red,8990,30,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA5s,Black,9990,28,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.4
OPPOA5s,Black,8990,30,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA5s,Red,9990,28,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.4
OPPOA3s,Purple,7990,33,2 GB  , 16 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA3s,Red,7990,33,2 GB  , 16 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA3s,Purple,10990,21,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA3s,Red,10990,21,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOK1,AstralBlue,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
OPPOK1,PianoBlack,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
RedmiNote7Pro,NeptuneBlue,13999,12,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.5
RedmiNote7Pro,SpaceBlack,13999,12,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.5
Realme3,RadiantBlue,9999,16,3 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.5
Realme3,DynamicBlack,10999,15,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.4
Realme3,RadiantBlue,10999,15,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.4
RedmiNote7S,SapphireBlue,10999,8,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.4
Realme3Pro,LightningPurple,13999,12,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
RedmiY2,Blue,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiNote7S,OnyxBlack,10999,8,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.4
Realme3Pro,NitroBlue,13999,12,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
RedmiY2,Black,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiNote6Pro,Black,11999,25,4 GB  , 64 GB  ,  256 GB,yes,6.26,FHD,20,12 + 5 ,4000,1,4.5
OPPOR17Pro,EmeraldGreen,29990,40,8 GB  , 128 GB  ,  256 GB,yes,6.4,NA,25,12 + 20 ,3700,1,4.4
OPPOA3s,Purple,7990,33,2 GB  , 16 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA3s,Red,7990,33,2 GB  , 16 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA7,GlazeBlue,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,16,13 + 2 ,4230,1,4.4
OPPOF9Pro,SunriseRed,17990,30,6 GB  , 64 GB  ,  256 GB,yes,6.3,FullHDDisplay,25,16 + 2 ,3500,1,4.5
OPPOF9Pro,TwilightBlue,17990,30,6 GB  , 64 GB  ,  256 GB,yes,6.3,FullHDDisplay,25,16 + 2 ,3500,1,4.5
OPPOF9Pro,StarryPurple,17990,30,6 GB  , 64 GB  ,  256 GB,yes,6.3,FullHDDisplay,25,16 + 2 ,3500,1,4.5
OPPOA5,DiamondRed,11990,25,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA3s,Red,9990,28,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA3s,Purple,9990,28,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA5,DiamondBlue,11990,25,4 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA5s,Red,8990,30,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA7,GlaringGold,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,16,13 + 2 ,4230,1,4.4
OPPOA5s,Black,9990,28,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.4
Redmi6,Blue,6999,22,3 GB  , 32 GB  ,  256 GB,yes,5.45,HD,5,12 + 5 ,3000,1,4.4
Redmi6,Black,6999,22,3 GB  , 32 GB  ,  256 GB,yes,5.45,HD,5,12 + 5 ,3000,1,4.4
InfinixSmart3Plus,MochaBrown,6999,12,2 GB  , 32 GB  ,  256 GB,yes,6.21,HD,8,13 + 2 ,3500,1,4.2
RealmeC1,MirrorBlack,6999,22,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
RealmeC1,NavyBlue,6999,22,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
RealmeC1,MirrorBlack,6999,22,2 GB  , 16 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
InfinixSmart3Plus,MidnightBlack,6999,12,2 GB  , 32 GB  ,  256 GB,yes,6.21,HD,8,13 + 2  ,3500,1,4.2
InfinixSmart3Plus,SapphireCyan,6999,12,2 GB  , 32 GB  ,  256 GB,yes,6.21,HD,8,13 + 2 ,3500,1,4.2
Redmi6A,Gold,6670,3,2 GB  , 32 GB  ,  128 GB,yes,5.45,HDDisplay,8,13,3000,0,4.3
Redmi6A,Blue,6739,1,2 GB  , 32 GB  ,  128 GB,yes,5.45,HDDisplay,8,13,3000,0,4.3
Redmi6A,RoseGold,6894,1,2 GB  , 32 GB  ,  128 GB,yes,5.45,HDDisplay,8,13,3000,0,4.3
Redmi6A,Blue,6545,1,2 GB  , 16 GB  ,  128 GB,yes,5.45,NA,5,13,3000,0,4.3
Redmi6A,Black,6799,1,2 GB  , 32 GB  ,  128 GB,yes,5.45,HDDisplay,5,13,3000,0,4.3
LenovoA5,Gold,6999,12,3 GB  , 32 GB  ,  256 GB,yes,5.45,HD,8,13,4000,1,4
Redmi6A,Black,6465,1,2 GB  , 16 GB  ,  128 GB,yes,5.45,NA,5,13,3000,0,4.3
SamsungOn7Pro,Gold,6499,1,2 GB  , 16 GB  ,  128 GB,yes,5.5,NA,5,13,3000,0,4.1
Redmi6A,RoseGold,6475,1,2 GB  , 16 GB  ,  128 GB,yes,5.45,NA,5,13,3000,0,4.3
Redmi5,LakeBlue,6990,17,2 GB  , 16 GB  ,  128 GB,yes,5.7,HD,5,12,3300,1,4.3
VotoV9,Red,6289,37,3 GB  , 32 GB  ,  128 GB,yes,5.85,HD,5,13,3000,0,3.7
SamsungGalaxyA2Core,Blue,5290,10,1 GB  , 16 GB  ,  256 GB,yes,5,QuadHDDisplay,5,5,2600,1,4.2
InFocusVision3,PremiumGold,6999,10,2 GB  , 16 GB  ,  128 GB,yes,5.7,NA,8,13 + 5 ,4000,0,4
Nokia2.1,Blue&Copper,5046,13,1 GB  , 8 GB  ,  128 GB,yes,5.5,NA,8,8,4000,0,4.1
Redmi6A,Gold,6450,3,2 GB  , 16 GB  ,  128 GB,yes,5.45,NA,8,13,3000,0,4.3
SamsungGalaxyA2Core,DarkGray,5290,10,1 GB  , 16 GB  ,  256 GB,yes,5,QuadHDDisplay,5,5,2600,1,4.2
Realme3,RadiantBlue,9999,16,3 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.5
RedmiY2,Blue,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiY2,Black,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiY2,Gold,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
SamsungGalaxyJ6,Blue,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
VivoY81,Gold,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
VivoY81,Black,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
SamsungGalaxyA10,Blue,7990,8,2 GB  , 32 GB  ,  512 GB,yes,6.2,HD,5,13,3400,1,4.3
MotoE5Plus,FineGold,7999,33,3 GB  , 32 GB  ,  128 GB,yes,6,HD,5,12,5000,0,4.2
SamsungGalaxyJ6,Black,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
VivoY91,NebulaPurple,9990,9,3 GB  , 32 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.4
Honor10Lite,SapphireBlue,9999,28,3 GB  , 32 GB  ,  512 GB,yes,6.21,FHD,24,13 + 2 ,3400,1,4.3
SamsungGalaxyJ6,Gold,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
OPPOA5s,Red,8990,30,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
MiA1,Black,9399,41,4 GB  , 64 GB  ,  128 GB,yes,5.5,FullHDDisplay,5,12 + 12 ,3080,1,4.4
OPPOA5s,Black,9990,28,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.4
OPPOA5s,Black,8990,30,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA5s,Red,9990,28,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.4
Honor10Lite,MidnightBlack,9999,28,3 GB  , 32 GB  ,  512 GB,yes,6.21,FHD,24,13 + 2 ,3400,1,4.3
RedmiY2,Gold,9999,25,4 GB  , 64 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.4
PanasonicElugaX1,Grey,9195,63,4 GB  , 64 GB  ,  256 GB,yes,6.18,FHD,16,16 + 5 ,3000,1,4.1
OPPOA3s,Red,7990,33,2 GB  , 16 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
RedmiY2,Black,9999,25,4 GB  , 64 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.4
VivoY91i,FusionBlack,7990,20,2 GB  , 32 GB  ,  256 GB,yes,6.22,HD,5,13,4030,1,4.3
RedmiGo,Blue,4799,20,1 GB  , 16 GB  ,  128 GB,yes,5,HDDisplay,5,8,3000,1,4.3
RedmiGo,Black,4499,25,1 GB  , 8 GB  ,  128 GB,yes,5,HDDisplay,5,8,3000,1,4.3
RedmiGo,Black,4799,20,1 GB  , 16 GB  ,  128 GB,yes,5,HDDisplay,5,8,3000,1,4.3
InfinixSmart2,SandstoneBlack,4499,35,2 GB  , 16 GB  ,  128 GB,yes,5.45,HD,8,13,3050,1,4.1
YuAce,RoseGold,4999,37,2 GB  , 16 GB  ,  128 GB,yes,5.45,HD,5,13,4000,1,4
YuAce,CharcoalGrey,4999,37,2 GB  , 16 GB  ,  128 GB,yes,5.45,HD,5,13,4000,1,4
YuAce,ElektricBlue,4999,37,2 GB  , 16 GB  ,  128 GB,yes,5.45,HD,5,13,4000,1,4
MicromaxBharat5InfinityEdition,RoseGold,4749,32,1 GB  , 16 GB  ,  32 GB,yes,5.45,NA,5,5,5000,1,3.9
GioneeF205,BlackandGold,4990,41,2 GB  , 16 GB  ,  256 GB,yes,5.45,HD,5,8,2670,1,4.1
Nokia1,DarkBlue,4245,3,1 GB  , 8 GB  ,  128 GB,yes,4.5,NA,2,5,2150,0,4
MobiistarC1,Blue,4799,2,2 GB  , 16 GB  ,  128 GB,yes,5.34,NA,2,5,3000,0,4.1
AsusZenFoneLiteL1,Black,4999,28,2 GB  , 16 GB  ,  256 GB,yes,5.45,HD,5,13,3000,1,4.2
MobiistarC1,Gold,4119,19,2 GB  , 16 GB  ,  128 GB,yes,5.34,NA,5,5,3000,0,4.1
MobiistarC1Lite,Gold,3849,3,1 GB  , 8 GB  ,  128 GB,yes,5.34,NA,5,5,2700,0,4.1
XOLOEra4x,Black,4999,30,2 GB  , 16 GB  ,  32 GB,yes,5.45,HD,5,8,3000,0,4.1
Nokia1,WarmRed,4290,30,1 GB  , 8 GB  ,  32 GB,yes,4.5,NA,5,5,2150,0,4
ItelA46,GradationDiamondGrey,4999,16,2 GB  , 16 GB  ,  128 GB,yes,5.45,HD,5,8 + 0.3 ,2350,0,4.3
LavaZ61,Gold,4999,23,1 GB  , 16 GB  ,  32 GB,yes,5.45,HD,5,8,3000,1,4.1
LavaZ50,Gold,3999,23,1 GB  , 8 GB  ,  32 GB,yes,4.5,FWVGADisplay,5,5,2000,0,3.7
LavaZ50,Black,3999,33,1 GB  , 8 GB  ,  64 GB,yes,4.5,FWVGADisplay,5,5,2000,0,3.7
RedmiY2,Gold,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiNote7S,RubyRed,10999,8,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.4
RedmiNote7S,RubyRed,12999,7,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.5
Honor9i,GraphiteBlack,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
RedmiNote5Pro,Gold,11999,29,6 GB  , 64 GB  ,  128 GB,yes,5.99,FullHD,20,12 + 5 ,4000,1,4.5
Honor9i,AuroraBlue,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
RedmiNote6Pro,Blue,11999,25,4 GB  , 64 GB  ,  256 GB,yes,6.26,FHD,20,12 + 5 ,4000,1,4.5
Realme2Pro,BlackSea,10490,25,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,16,16 + 2 ,3500,1,4.5
Realme2Pro,BlueOcean,10490,25,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,16,16 + 2 ,3500,1,4.5
SamsungGalaxyJ6,Blue,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
Realme2Pro,BlueOcean,12490,21,6 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,16,16 + 2 ,3500,1,4.5
VivoY81,Gold,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
LavaZ51,Gold,4499,10,1 GB  , 16 GB  ,  128 GB,yes,5,NA,5,5,2550,1,3.8
KarbonnAuraSleekPlus,Champagne,4599,10,2 GB  , 16 GB  ,  32 GB,yes,5,HDDisplay,5,8,2000,0,3.7
LavaZ61,Black,4999,23,1 GB  , 16 GB  ,  32 GB,yes,5.45,HD,5,8,3000,1,4.1
LavaZ60S,Gold,4499,24,1 GB  , 16 GB  ,  64 GB,yes,5,HDDisplay,5,5,2500,0,4
