Mobiles,Colors,Price in Rupees,Off(%),Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Display,Secondary_Camera(MP),Primary_Camera(MP),Battery_details,Warranty(Year),Rating
RealmeC2,DiamondBlack,5999,14,2 GB  , 16 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.5
RealmeC2,DiamondBlue,5999,14,2 GB  , 16 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.5
Honor7S,Blue,5499,38,2 GB  , 16 GB  ,  256 GB,yes,5.45,NA,5,13,3020,0,4.1
RedmiGo,Black,4799,20,1 GB  , 16 GB  ,  128 GB,yes,5,HDDisplay,5,8,3000,1,4.3
LenovoA5,Black,5999,14,2 GB  , 16 GB  ,  256 GB,yes,5.45,HD,8,13,4000,1,4.1
Alcatel3V,SpectrumGold,5999,45,3 GB  , 32 GB  ,  128 GB,yes,6,FullHD,8,16 + 5 ,3000,1,3.6
InfinixSmart2,BordeauxRed,5999,25,3 GB  , 32 GB  ,  128 GB,yes,5.45,HD,8,13,3050,1,4
SamsungGalaxyA2Core,Blue,5290,10,1 GB  , 16 GB  ,  256 GB,yes,5,QuadHDDisplay,5,5,2600,1,4.2
MicromaxBharat5InfinityEdition,RoseGold,4749,32,1 GB  , 16 GB  ,  32 GB,yes,5.45,NA,5,5,5000,1,3.9
Nokia1,DarkBlue,4245,3,1 GB  , 8 GB  ,  128 GB,yes,4.5,NA,2,5,2150,0,4
MobiistarC1,Blue,4799,2,2 GB  , 16 GB  ,  128 GB,yes,5.34,NA,2,5,3000,0,4.1
SamsungGalaxyA2Core,DarkGray,5290,10,1 GB  , 16 GB  ,  256 GB,yes,5,QuadHDDisplay,5,5,2600,1,4.2
MobiistarC1,Gold,4119,19,2 GB  , 16 GB  ,  128 GB,yes,5.34,NA,5,5,3000,0,4.1
Nokia1,WarmRed,4290,19,1 GB  , 8 GB  ,32GB,yes,4.5,NA,5,5,2150,0,4
XOLOEra4x,Black,4999,30,2 GB  , 16 GB  ,  32 GB,yes,5.45,HD,5,8,3000,0,4.1
LYFWater1,White,4999,16,2 GB  , 16 GB  ,  32 GB,yes,5,FullHDDisplay,5,13,2600,0,3.5
LYFWind4S,Black,4999,27,2 GB  , 16 GB  ,  32 GB,yes,5,NA,5,8,4000,0,3.6
LYFFlame8,White,3490,37,1 GB  , 8 GB  ,  128 GB,yes,4.5,FWVGADisplay,5,8,2000,1,3.3
MobiistarC2,Gold,5499,5,2 GB  , 16 GB  ,  32 GB,yes,5.34,NA,8,8,3000,0,4
SamsungGalaxyA2Core,Gold,5390,8,1 GB  , 16 GB  ,  256 GB,yes,5,QuadHDDisplay,5,5,2600,1,4.2
LavaZ50,Gold,3999,8,1 GB  , 8 GB  ,32GB,yes,4.5,FWVGADisplay,5,5,2000,0,3.7
LavaZ61,Gold,4999,23,1 GB  , 16 GB  ,  32 GB,yes,5.45,HD,5,8,3000,1,4.1
OPPOF11Pro,ThunderBlack,20990,27,6 GB  , 64 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
VivoY93,NebulaPurple,10990,26,3 GB  , 64 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.4
VivoY15,AquaBlue,13990,12,4 GB  , 64 GB  ,  256 GB,yes,6.35,HD,8,13 + 2,5000,1,4.4
VivoY15,BurgundyRed,13990,12,4 GB  , 64 GB  ,  256 GB,yes,6.35,HD,8,13 + 2,5000,1,4.4
SamsungGalaxyJ6,Black,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
Nokia5.1Plus,Black,14459,26,4 GB  , 64 GB  ,  256 GB,yes,5.8,HD,8,13 + 5 ,3060,1,4.2
OPPOA3s,Purple,10990,21,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOK1,PianoBlack,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
OPPOK1,AstralBlue,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
LavaZ50,Black,3999,33,1 GB  , 8 GB  ,  64 GB,yes,4.5,FWVGADisplay,5,5,2000,0,3.7
SamsungGalaxyJ2Core,Gold,5490,14,1 GB  , 8 GB  ,  256 GB,yes,5,quarterHDDisplay,5,8,2600,1,4.2
KarbonnAuraSleekPlus,Champagne,4599,14,2 GB  , 16 GB  ,  32 GB,yes,5,HDDisplay,5,8,2000,0,3.7
LavaZ61,Black,4999,23,1 GB  , 16 GB  ,  32 GB,yes,5.45,HD,5,8,3000,1,4.1
MobiistarX1Notch,MidnightBlack,6899,1,2 GB  , 16 GB  ,  128 GB,yes,5.7,HD,13,13,3020,0,3.9
RealmeC2,DiamondBlack,7999,11,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.4
RealmeC2,DiamondBlue,7999,11,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.4
RedmiY2,Blue,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
Redmi6,Gold,7499,28,3 GB  , 64 GB  ,  256 GB,yes,5.45,HD,5,12 + 5 ,3000,1,4.4
RedmiY2,Black,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
Redmi6,Black,7499,28,3 GB  , 64 GB  ,  256 GB,yes,5.45,HD,5,12 + 5 ,3000,1,4.4
RedmiY2,Gold,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
Redmi6,Blue,7499,28,3 GB  , 64 GB  ,  256 GB,yes,5.45,HD,5,12 + 5 ,3000,1,4.4
Redmi6,RoseGold,7499,28,3 GB  , 64 GB  ,  256 GB,yes,5.45,HD,5,12 + 5 ,3000,1,4.4
RealmeC1,MirrorBlack,6999,22,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
Honor9Lite,SapphireBlue,7999,42,3 GB  , 32 GB  ,  256 GB,yes,5.65,FHD,13,13 + 2 ,3000,0,4.3
SamsungGalaxyA10,Blue,7990,8,2 GB  , 32 GB  ,  512 GB,yes,6.2,HD,5,13,3400,1,4.3
Redmi6A,Gold,6670,3,2 GB  , 32 GB  ,  128 GB,yes,5.45,HDDisplay,5,13,3000,0,4.3
MotoE5Plus,FineGold,7999,33,3 GB  , 32 GB  ,  128 GB,yes,6,HD,5,12,5000,0,4.2
Redmi6A,Black,6799,33,2 GB  , 32 GB  ,  128 GB,yes,5.45,HDDisplay,5,13,3000,0,4.3
AsusZenfoneMaxProM1,Grey,7999,27,3 GB  , 32 GB  ,  2 TB,yes,5.99,FullHD,8,13 + 5 ,5000,1,4.3
Redmi6A,Blue,6730,15,2 GB  , 32 GB  ,  128 GB,yes,5.45,HDDisplay,8,13,3000,0,4.3
OPPOA3s,Red,7990,33,2 GB  , 16 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
VivoY91i,FusionBlack,7990,20,2 GB  , 32 GB  ,  256 GB,yes,6.22,HD,5,13,4030,1,4.3
SamsungGalaxyC7Pro,NavyBlue,26600,8,4 GB  , 64 GB  ,  256 GB,yes,5.7,FullHDDisplay,16,16,3300,0,4.4
SamsungGalaxyJ8,Gold,14499,27,4 GB  , 64 GB  ,  256 GB,yes,6,HD,16,16 + 5 ,3500,1,4.4
SamsungGalaxyA50,White,18490,11,4 GB  , 64 GB  ,  512 GB,yes,6.4,FHD,25,25 + 5 + 8 ,4000,1,4.3
SamsungGalaxyA50,Blue,21490,10,6 GB  , 64 GB  ,  512 GB,yes,6.4,FHD,25,25 + 5 + 8 ,4000,1,4.4
SamsungGalaxyA7,Black,15990,28,4 GB  , 64 GB  ,  512 GB,yes,6,FHD,24,24 + 5 + 8 ,3300,1,4.3
SamsungGalaxyA7,Black,19990,18,6 GB  , 128 GB  ,  512 GB,yes,6,FHD,24,24 + 5 + 8 ,3300,1,4.4
SamsungGalaxyA6,Gold,25500,18,4 GB  , 64 GB  ,256GB,yes,5.6,NA,16,16,3000,1,4.4
SamsungGalaxyA30,Red,17500,4,4 GB  , 64 GB  ,  512 GB,yes,6.4,FHD,16,16 + 5 ,4000,1,4.4
SamsungGalaxyA7,Gold,15990,28,4 GB  , 64 GB  ,  512 GB,yes,6,FHD,24,24 + 5 + 8 ,3300,1,4.3
VivoY91i,OceanBlue,7990,20,2 GB  , 32 GB  ,  256 GB,yes,6.22,HD,5,13,4030,1,4.3
Redmi5,LakeBlue,7999,20,3 GB  , 32 GB  ,  128 GB,yes,5.7,HD,5,12,3300,1,4.3
MicromaxSparkGo,RoseGold,3499,30,1 GB  , 8 GB  ,  32 GB,yes,5,NA,2,5,2000,1,4.1
MicromaxSparkGo,Silver,3499,30,1 GB  , 8 GB  ,  32 GB,yes,5,NA,2,5,2000,1,4.1
Nokia1,DarkBlue,4245,3,1 GB  , 8 GB  ,  128 GB,yes,4.5,NA,2,5,2150,0,4
MobiistarC1Lite,Gold,3849,3,1 GB  , 8 GB  ,  128 GB,yes,5.34,NA,5,5,2700,0,4.1
LavaZ50,Gold,3999,3,1 GB  , 8 GB  ,32GB,yes,4.5,FWVGADisplay,5,5,2000,0,3.7
PanasonicP110,Red,3999,46,1 GB  , 16 GB  ,  64 GB,yes,5.34,FWVGA,5,5,2300,1,4
LavaZ50,Black,3999,33,1 GB  , 8 GB  ,  64 GB,yes,4.5,FWVGADisplay,5,5,2000,0,3.7
STKAcePlus,Black,3988,33,2 GB  , 16 GB  ,  32 GB,yes,5.5,HDDisplay,5,13,2800,1,3.7
CoolpadMega5M,SkyBlue,3699,33,1 GB  , 16 GB  ,  32 GB,yes,5,HDDisplay,2,5,2000,0,3.5
ReachAllureAdmire4GVoLTE,Champagne,3249,1,1 GB  , 8 GB  ,  32 GB,yes,4.5,FWVGADisplay,2,8,1800,0,3
MicromaxBharat4DiwaliEdition,Red,4199,16,1 GB  , 8 GB  ,  32 GB,yes,5,FWVGADisplay,2,5,2000,1,3.8
KarbonnK9Smart4G,BlackSandstone/BlackGold,4149,16,1 GB  , 8 GB  ,  8 GB,yes,5,NA,2,5,2300,0,3.6
OPPOA1K,Black,7990,27,2 GB  , 32 GB  ,  256 GB,yes,6.1,NA,5,8,4000,1,4.4
LenovoK8Plus,FineGold,7999,20,3 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,13 + 5 ,4000,1,4.1
LenovoP2,Gold,16999,20,3 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,5,13,5100,1,4.3
LenovoK8Note,VenomBlack,9399,6,4 GB  , 64 GB  ,  128 GB,yes,5.5,FullHDDisplay,13,13 + 5 ,4000,1,4.1
LenovoZ2Plus,Black,15499,6,3 GB  , 32 GB  ,128GB,yes,5,FullHDDisplay,8,13,3500,1,3.9
OPPOA1K,Red,7990,27,2 GB  , 32 GB  ,  256 GB,yes,6.1,NA,5,8,4000,1,4.4
SamsungOn7Pro,Gold,6649,29,2 GB  , 16 GB  ,  256 GB,yes,5.5,NA,5,13,3000,0,4.1
SamsungGalaxyOnNxt,Gold,8990,49,3 GB  , 64 GB  ,  256 GB,yes,5.5,FullHDDisplay,8,13,3300,1,4.3
SamsungGalaxyOnNxt,Black,8990,49,3 GB  , 64 GB  ,  256 GB,yes,5.5,FullHDDisplay,8,13,3300,1,4.3
Realme3,RadiantBlue,8999,18,3 GB  , 32 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.5
Realme3,DynamicBlack,8999,18,3 GB  , 32 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.5
AsusZenfoneMaxProM1,Grey,8499,34,4 GB  , 64 GB  ,  2 TB,yes,5.99,FullHD,8,13 + 5 ,5000,1,4.3
RedmiY2,Blue,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiY2,Black,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiY2,Gold,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
Honor9i,GraphiteBlack,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
RealmeC1,MirrorBlack,6999,22,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
RealmeC1,MirrorBlack,8499,15,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
RealmeC1,NavyBlue,8495,5,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
Honor9i,AuroraBlue,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
Honor9N,SapphireBlue,8999,35,3 GB  , 32 GB  ,  256 GB,yes,5.84,NA,16,13 + 2 ,3000,0,4.4
InfinixS4,SpaceGray,8999,10,3 GB  , 32 GB  ,  256 GB,yes,6.21,HD,32,13 + 2 Depth Sensor + 8 Wide Angle sensor ,4000,1,4.2
Honor9N,MidnightBlack,8999,43,4 GB  , 64 GB  ,  256 GB,yes,5.84,NA,16,13 + 2 ,3000,0,4.3
Honor9N,SapphireBlue,8999,43,4 GB  , 64 GB  ,  256 GB,yes,5.84,NA,16,13 + 2 ,3000,0,4.3
VivoY81,Gold,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
VivoY81,Black,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
InfinixS4,NebulaBlue,8999,10,3 GB  , 32 GB  ,  256 GB,yes,6.21,HD,32,13 + 2 Depth Sensor + 8 Wide Angle sensor ,4000,1,4.2
InfinixS4,TwilightPurple,8999,10,3 GB  , 32 GB  ,  256 GB,yes,6.21,HD,32,13 + 2 Depth Sensor + 8 Wide Angle sensor ,4000,1,4.2
Honor9Lite,MidnightBlack,8999,35,3 GB  , 32 GB  ,  256 GB,yes,5.65,FHD,13,13 + 2 ,3000,0,4.3
SamsungGalaxyA10,Blue,7990,8,2 GB  , 32 GB  ,  512 GB,yes,6.2,HD,5,13,3400,1,4.3
MotoE5Plus,FineGold,7999,33,3 GB  , 32 GB  ,  128 GB,yes,6,HD,5,12,5000,0,4.2
RedmiNote7S,SapphireBlue,10999,8,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.4
Realme3,DynamicBlack,10999,15,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.4
Realme3,RadiantBlue,10999,15,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.4
Realme3,RadiantBlue,9999,16,3 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.5
RedmiY2,Blue,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiNote7S,OnyxBlack,10999,8,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.4
RedmiNote7,SapphireBlue,9999,23,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,12 + 2 ,4000,1,4.4
RedmiY2,Black,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiNote7S,RubyRed,10999,8,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.4
RedmiY2,Gold,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
Honor9i,GraphiteBlack,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
Realme2Pro,BlackSea,10490,25,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,16,16 + 2 ,3500,1,4.5
VivoY81,Gold,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
VivoY81,Black,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
SamsungGalaxyJ6,Blue,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
VivoY93,NebulaPurple,10990,26,3 GB  , 64 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.4
Honor9N,SapphireBlue,10999,45,4 GB  , 128 GB  ,  256 GB,yes,5.84,NA,16,13 + 2 ,3000,0,4.3
Honor9N,MidnightBlack,10999,45,4 GB  , 128 GB  ,  256 GB,yes,5.84,NA,16,13 + 2 ,3000,0,4.3
SamsungGalaxyA10,Blue,7990,8,2 GB  , 32 GB  ,  512 GB,yes,6.2,HD,5,13,3400,1,4.3
MotoE5Plus,FineGold,7999,33,3 GB  , 32 GB  ,  128 GB,yes,6,HD,5,12,5000,0,4.2
SamsungGalaxyJ6,Black,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
OPPOA3s,Purple,10990,21,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA3s,Red,10990,21,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
VivoY91,NebulaPurple,9990,9,3 GB  , 32 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.4
Realme3,DynamicBlack,10999,15,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.4
Realme3,RadiantBlue,10999,15,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.4
Realme3,RadiantBlue,9999,16,3 GB  , 64 GB  ,  256 GB,yes,6.22,HD,13,13 + 2 ,4230,1,4.5
RedmiNote7S,SapphireBlue,10999,8,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.4
RedmiNote7S,OnyxBlack,10999,8,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.4
RedmiY2,Blue,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiY2,Black,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
RedmiNote7,SapphireBlue,9999,23,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,12 + 2 ,4000,1,4.4
RedmiNote6Pro,Black,11999,25,4 GB  , 64 GB  ,  256 GB,yes,6.26,FHD,20,12 + 5 ,4000,1,4.5
RedmiNote7S,RubyRed,10999,8,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.4
RedmiY2,Gold,7999,23,3 GB  , 32 GB  ,  256 GB,yes,5.99,HD,16,12 + 5 ,3080,1,4.5
Honor9i,GraphiteBlack,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
RedmiNote5Pro,Gold,11999,29,6 GB  , 64 GB  ,  128 GB,yes,5.99,FullHD,20,12 + 5 ,4000,1,4.5
Honor9i,AuroraBlue,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
Realme2Pro,BlackSea,10490,25,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,16,16 + 2 ,3500,1,4.5
SamsungGalaxyJ6,Blue,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
VivoY81,Gold,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
VivoY81,Black,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
RedmiNote7,OnyxBlack,9999,23,3 GB  , 32 GB  ,  256 GB,yes,6.3,FHD,13,12 + 2 ,4000,1,4.4
RedmiNote6Pro,Blue,11999,25,4 GB  , 64 GB  ,  256 GB,yes,6.26,FHD,20,12 + 5 ,4000,1,4.5
VivoY93,NebulaPurple,10990,26,3 GB  , 64 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.4
Honor9N,SapphireBlue,10999,45,4 GB  , 128 GB  ,  256 GB,yes,5.84,NA,16,13 + 2 ,3000,0,4.3
Honor9N,MidnightBlack,10999,45,4 GB  , 128 GB  ,  256 GB,yes,5.84,NA,16,13 + 2 ,3000,0,4.3
SamsungGalaxyA10,Blue,7990,8,2 GB  , 32 GB  ,  512 GB,yes,6.2,HD,5,13,3400,1,4.3
RedmiNote7Pro,NeptuneBlue,16999,5,6 GB  , 128 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.5
RedmiNote7Pro,SpaceBlack,16999,5,6 GB  , 128 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.5
Realme3Pro,LightningPurple,15999,11,6 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
Realme3Pro,LightningPurple,16999,15,6 GB  , 128 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
Realme3Pro,NitroBlue,15999,11,6 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
RedmiNote7Pro,NebulaRed,16999,5,6 GB  , 128 GB  ,  256 GB,yes,6.3,FHD,13,48 + 5 ,4000,1,4.5
VivoY17,MysticPurple,15990,15,4 GB  , 128 GB  ,  256 GB,yes,6.35,HD,8,13 + 2,5000,1,4.3
VivoY17,MineralBlue,15990,15,4 GB  , 128 GB  ,  256 GB,yes,6.35,HD,8,13 + 2,5000,1,4.3
VivoV15,AquaBlue,19990,25,6 GB  , 64 GB  ,  256 GB,yes,6.53,FHD,32,12 (24 Million Photosensitive Units) + 8 + 5 5 + 8 ,4000,1,4.4
SamsungGalaxyA30,Blue,15490,13,4 GB  , 64 GB  ,  512 GB,yes,6.4,FHD,16,16 + 5 ,4000,1,4.4
OPPOF9Pro,StarryPurple,17990,30,6 GB  , 64 GB  ,  256 GB,yes,6.3,FullHDDisplay,25,16 + 2 ,3500,1,4.5
OPPOF9Pro,SunriseRed,17990,30,6 GB  , 64 GB  ,  256 GB,yes,6.3,FullHDDisplay,25,16 + 2 ,3500,1,4.5
OPPOF9Pro,TwilightBlue,17990,30,6 GB  , 64 GB  ,  256 GB,yes,6.3,FullHDDisplay,25,16 + 2 ,3500,1,4.5
OPPOA7,GlaringGold,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,16,13 + 2 ,4230,1,4.4
Honor8X,Black,18599,2,6 GB  , 128 GB  ,  256 GB,yes,6.5,NA,16,20 + 2 ,3750,0,4.4
Honor8X,Blue,18450,2,6 GB  , 128 GB  ,  256 GB,yes,6.5,NA,16,20 + 2 ,3750,0,4.4
VivoY95,NebulaPurple,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,20,13 + 2 ,4030,1,4.4
VivoY95,StarryBlack,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,20,13 + 2 ,4030,1,4.4
POCOF1byXiaomi,GraphiteBlack,17999,18,6 GB  , 64 GB  ,  256 GB,yes,6.18,FHD,20,12 + 5 ,4000,1,4.6
Honor9i,GraphiteBlack,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
OPPOF11,FluoritePurple,17990,18,4 GB  , 128 GB  ,  256 GB,yes,6.53,NA,16,48 + 5 ,4020,1,4.4
