Mobiles,Colors,Price in Rupees,Off(%),Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Display,Secondary_Camera(MP),Primary_Camera(MP),Battery_details,Warranty(Year),Rating
LavaZ50,Black,3999,33,1 GB  , 8 GB  ,  64 GB,yes,4.5,FWVGADisplay,5,5,2000,0,3.7
SamsungGalaxyJ2Core,Gold,5490,14,1 GB  , 8 GB  ,  256 GB,yes,5,quarterHDDisplay,5,8,2600,1,4.2
STKAcePlus,Black,3988,14,2 GB  , 16 GB  ,  32 GB,yes,5.5,HDDisplay,5,13,2800,1,3.7
LenovoVIBEP1,Grey,8368,53,2 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,5,13,4900,1,4.1
LenovoK8Note,FineGold,10990,26,4 GB  , 64 GB  ,  128 GB,yes,5.5,FullHDDisplay,13,13 + 5 ,4000,1,4.1
LenovoK6Note,Gold,12996,13,3 GB  , 32 GB  ,128GB,yes,5.5,FullHDDisplay,13,16,4000,0,4.1
LenovoX2-AP,Gold,11999,31,2 GB  , 32 GB  ,128GB,yes,5,FullHDDisplay,5,13,2300,0,3.7
LenovoPhab2Plus,GunmetalGrey,14990,31,3 GB  , 32 GB  ,  128 GB,yes,6.4,FullHDDisplay,8,13 + 13 ,4050,1,4
LenovoK8Plus,VenomBlack,7999,20,3 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,13 + 5 ,4000,1,4.1
SamsungGalaxyA30,Blue,15490,13,4 GB  , 64 GB  ,  512 GB,yes,6.4,FHD,16,16 + 5 ,4000,1,4.4
SamsungGalaxyA30,Black,15490,13,4 GB  , 64 GB  ,  512 GB,yes,6.4,FHD,16,16 + 5 ,4000,1,4.4
SamsungGalaxyA20,Black,11490,10,3 GB  , 32 GB  ,  512 GB,yes,6.4,HD,8,13 + 5 ,4000,1,4.3
LavaZ51,SapphireGreen,4499,10,1 GB  , 16 GB  ,  128 GB,yes,5,NA,5,5,2550,1,3.8
SamsungGalaxyA2Core,Blue,5290,10,1 GB  , 16 GB  ,  256 GB,yes,5,QuadHDDisplay,5,5,2600,1,4.2
SamsungGalaxyOn6,Blue,11990,22,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.3
VivoY15,AquaBlue,13990,12,4 GB  , 64 GB  ,  256 GB,yes,6.35,HD,8,13 + 2,5000,1,4.4
VivoY15,BurgundyRed,13990,12,4 GB  , 64 GB  ,  256 GB,yes,6.35,HD,8,13 + 2,5000,1,4.4
VivoY81,Gold,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
VivoY81,Black,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
VivoY93,NebulaPurple,10990,26,3 GB  , 64 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.4
VivoV15,FrozenBlack,19990,25,6 GB  , 64 GB  ,  256 GB,yes,6.53,FHD,32,12 (24 Million Photosensitive Units) + 8 + 5 5 + 8 ,4000,1,4.4
Honor8X,Black,18699,3,6 GB  , 128 GB  ,  512 GB,yes,6.5,NA,16,20 + 2 ,3750,0,4.4
Honor8X,Blue,18450,2,6 GB  , 128 GB  ,  512 GB,yes,6.5,NA,16,20 + 2 ,3750,0,4.4
HonorPlay,NavyBlue,13999,36,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,16,16 + 2 ,3750,1,4.5
Honor8X,Black,14999,25,6 GB  , 64 GB  ,  256 GB,yes,6.5,FHD,16,20 + 2 ,3750,0,4.4
Honor7A,Black,8999,18,3 GB  , 32 GB  ,  256 GB,yes,5.7,HD,8,13 + 2 ,3000,0,4.3
Honor7A,Blue,8999,18,3 GB  , 32 GB  ,  256 GB,yes,5.7,HD,8,13 + 2 ,3000,0,4.3
Honor8C,Blue,12990,6,4 GB  , 64 GB  ,  256 GB,yes,6.26,HD,8,13 + 2 ,4000,0,4.4
SamsungGalaxyA2Core,DarkGray,5290,10,1 GB  , 16 GB  ,  256 GB,yes,5,QuadHDDisplay,5,5,2600,1,4.2
SamsungGalaxyA8Star,Black,18899,47,6 GB  , 64 GB  ,256GB,yes,6.3,NA,5,24,3700,0,4.3
GooglePixel3,JustBlack,58999,26,4 GB  , 128 GB  ,  32 GB,yes,5.5,FHD,8,12.2,2915,1,4.6
LavaZ60S,Gold,4499,24,1 GB  , 16 GB  ,  64 GB,yes,5,HDDisplay,5,5,2500,0,4
InfinixSmart3Plus,MochaBrown,6999,12,2 GB  , 32 GB  ,  256 GB,yes,6.21,HD,8,13 + 2 + Low Light Sensor ,3500,1,4.2
InfinixSmart2,SandstoneBlack,5999,25,3 GB  , 32 GB  ,  128 GB,yes,5.45,HD,8,13,3050,1,4
InfinixSmart2,SereneGold,5999,25,3 GB  , 32 GB  ,  128 GB,yes,5.45,HD,8,13,3050,1,4
KarbonnK9SmartPlus,Champagne,3849,32,1 GB  , 8 GB  ,  128 GB,yes,5.45,HD,5,5,2800,0,4
FormeN5+SelfiewithWirelessFM,NA,599,32,32 MB  ,64GB,  128 GB,yes,1.8,NA,5,0.8,850,0,3.6
Honor9Lite,MidnightBlack,8999,35,3 GB  , 32 GB  ,  256 GB,yes,5.65,FHD,13,13 + 2 ,3000,0,4.3
Honor9Lite,SapphireBlue,7999,42,3 GB  , 32 GB  ,  256 GB,yes,5.65,FHD,13,13 + 2 ,3000,0,4.3
Honor9N,SapphireBlue,10999,45,4 GB  , 128 GB  ,  256 GB,yes,5.84,NA,16,13 + 2 ,3000,0,4.3
Honor9N,MidnightBlack,10999,45,4 GB  , 128 GB  ,  256 GB,yes,5.84,NA,16,13 + 2 ,3000,0,4.3
Honor10Lite,SapphireBlue,9999,28,3 GB  , 32 GB  ,  512 GB,yes,6.21,FHD,24,13 + 2 ,3400,1,4.3
Honor10Lite,SapphireBlue,11999,29,4 GB  , 64 GB  ,  512 GB,yes,6.21,FHD,24,13 + 2 ,3400,1,4.4
Honor10Lite,MidnightBlack,11999,29,4 GB  , 64 GB  ,  512 GB,yes,6.21,FHD,24,13 + 2 ,3400,1,4.4
Realme3Pro,LightningPurple,15999,11,6 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
Realme3Pro,LightningPurple,13999,12,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
Realme3Pro,NitroBlue,13999,12,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
Realme3Pro,NitroBlue,15999,11,6 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,25,16 + 5 ,4045,1,4.5
LenovoK8,FineGold,7953,20,3 GB  , 32 GB  ,  128 GB,yes,5.2,HDDisplay,8,13,4000,1,4.1
LenovoVibeP1Turbo,Silver,8399,18,3 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,5,13,4900,1,3.7
LenovoS930,Silver,13604,18,1 GB  , 8 GB  ,  32 GB,yes,6,HDDisplay,1,8,3000,0,4.2
LenovoK8,VenomBlack,7999,11,3 GB  , 32 GB  ,  128 GB,yes,5.2,HDDisplay,8,13,4000,1,4.1
LenovoVibeK5Note,Silver,12499,11,4 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,8,13,3500,1,4.1
RealmeC2,DiamondBlack,7999,11,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.4
RealmeC2,DiamondBlue,7999,11,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.4
Honor10Lite,SkyBlue,15999,15,6 GB  , 64 GB  ,  512 GB,yes,6.21,FHD,24,13 + 2 ,3400,1,4.4
MicromaxVdeo3,Champagne,3999,30,1 GB  , 8 GB  ,  32 GB,yes,5,HDDisplay,2,5,2000,1,4
MicromaxCanvasTurboMiniA200,White,14999,30,1 GB  , 4 GB  ,  32 GB,yes,4.69,HDDisplay,5,8,1800,0,3.7
MicromaxCanvas2ColorsA120,White.,11999,30,1 GB  , 2.5 GB  ,  32 GB,yes,5,HDDisplay,2,8,2000,0,3.9
MicromaxInfinityN12,Viola,8499,43,3 GB  , 32 GB  ,  128 GB,yes,6.19,HD,16,13 + 5 ,4000,1,4.2
MicromaxBharat5,JetBlack,4999,5,1 GB  , 16 GB  ,  64 GB,yes,5.2,HDDisplay,5,5,5000,0,3.9
MicromaxBharat2Plus,Black,2998,33,1 GB  , 8 GB  ,  32 GB,yes,4,NA,5,5,1600,0,3.6
MicromaxSelfie2Note,ChampagneGold,9999,33,3 GB  , 32 GB  ,  128 GB,yes,5.2,HDDisplay,8,13,3000,0,3.7
Honor10Lite,SapphireBlue,15999,15,6 GB  , 64 GB  ,  512 GB,yes,6.21,FHD,24,13 + 2 ,3400,1,4.4
Honor10Lite,MidnightBlack,9999,28,3 GB  , 32 GB  ,  512 GB,yes,6.21,FHD,24,13 + 2 ,3400,1,4.3
Honor8X,Blue,14999,25,6 GB  , 64 GB  ,  512 GB,yes,6.5,FHD,16,20 + 2 ,3750,0,4.4
SamsungGalaxyOnNxt,Gold,8990,49,3 GB  , 64 GB  ,  256 GB,yes,5.5,FullHDDisplay,8,13,3300,1,4.3
SamsungGalaxyOnNxt,Black,8990,49,3 GB  , 64 GB  ,  256 GB,yes,5.5,FullHDDisplay,8,13,3300,1,4.3
SamsungGalaxyA10,Red,7990,8,2 GB  , 32 GB  ,  512 GB,yes,6.2,HD,5,13,3400,1,4.3
SamsungGalaxyM20,CharcoalBlack,11099,1,3 GB  , 32 GB  ,62GB,yes,6.3,NA,5,13,5000,0,4.2
InfinixSmart2,SandstoneBlack,4499,35,2 GB  , 16 GB  ,  128 GB,yes,5.45,HD,8,13,3050,1,4.1
InfinixSmart2,BordeauxRed,5999,25,3 GB  , 32 GB  ,  128 GB,yes,5.45,HD,8,13,3050,1,4
KarbonnK9Smart4G,BlackSandstone/BlackGold,4149,25,1 GB  , 8 GB  ,  8 GB,yes,5,NA,8,5,2300,0,3.6
KarbonnK9SmartYUVA,Coffee&Champagne,3880,25,1 GB  , 8 GB  ,32GB,yes,5,NA,8,5,2300,0,3.5
InfinixSmart2,CityBlue,5999,25,3 GB  , 32 GB  ,  128 GB,yes,5.45,HD,8,13,3050,1,4
SamsungGalaxyM20,OceanBlue,11275,1,32 GB  , 32 GB  ,62GB,yes,6.3,NA,5,13,5000,0,4
RealmeC1,NavyBlue,8495,5,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
MicromaxSparkGo,RoseGold,3499,30,1 GB  , 8 GB  ,  32 GB,yes,5,NA,2,5,2000,1,4.1
VivoY17,MysticPurple,15990,15,4 GB  , 128 GB  ,  256 GB,yes,6.35,HD,8,13 + 2,5000,1,4.3
VivoY17,MineralBlue,15990,15,4 GB  , 128 GB  ,  256 GB,yes,6.35,HD,8,13 + 2,5000,1,4.3
VivoV15,AquaBlue,19990,25,6 GB  , 64 GB  ,  256 GB,yes,6.53,FHD,32,12 (24 Million Photosensitive Units) + 8 + 5 5 + 8 ,4000,1,4.4
VivoY91,NebulaPurple,9990,9,3 GB  , 32 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.4
VivoY93,StarryBlack,10990,26,3 GB  , 64 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.4
VivoY91i,FusionBlack,7990,11,2 GB  , 16 GB  ,  256 GB,yes,6.22,HD,5,13,4030,1,4.3
VivoY91i,OceanBlue,7990,20,2 GB  , 32 GB  ,  256 GB,yes,6.22,HD,5,13,4030,1,4.3
VivoY91i,FusionBlack,7990,20,2 GB  , 32 GB  ,  256 GB,yes,6.22,HD,5,13,4030,1,4.3
MicromaxSparkGo,Silver,3499,30,1 GB  , 8 GB  ,  32 GB,yes,5,NA,2,5,2000,1,4.1
MicromaxBharat5InfinityEdition,RoseGold,4749,32,1 GB  , 16 GB  ,  32 GB,yes,5.45,NA,5,5,5000,1,3.9
MicromaxBharat4DiwaliEdition,Red,4199,16,1 GB  , 8 GB  ,  32 GB,yes,5,FWVGADisplay,2,5,2000,1,3.8
MicromaxBharat5Pro,JetBlack,5499,50,3 GB  , 32 GB  ,  64 GB,yes,5.2,HDDisplay,5,13,5000,1,4
MicromaxCanvas2Plus,JetBlack,6199,8,3 GB  , 32 GB  ,  64 GB,yes,5.7,HD,8,13,4000,0,3.9
SamsungGalaxyJ4Plus,Black,8490,5,2 GB  , 32 GB  ,  512 GB,yes,6,HD,5,13,3300,1,4.3
LenovoK8Note,VenomBlack,8999,2,3 GB  , 32 GB  ,128GB,yes,5.5,FullHDDisplay,13,13 + 5 ,4000,0,4.1
LenovoK8Plus,VenomBlack,11999,2,4 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,13 + 5 ,4000,1,4.1
LenovoK8Note,FineGold,8749,9,3 GB  , 32 GB  ,128GB,yes,5.5,FullHDDisplay,13,13 + 5 ,4000,0,4.1
LenovoP2,GREY/GRAPHITEGREY,11849,34,4 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,5,13,5100,1,4.3
LenovoK6Note,Golden,10999,31,4 GB  , 32 GB  ,  128 GB,yes,5.5,NA,8,16,4000,0,4
Honor9N,MidnightBlack,8999,43,4 GB  , 64 GB  ,  256 GB,yes,5.84es,NA,16,13 + 2 ,3000,0,4.3
Honor9N,SapphireBlue,8999,43,4 GB  , 64 GB  ,  256 GB,yes,5.84es,NA,16,13 + 2 ,3000,0,4.3
SamsungGalaxyM30,GradationBlue,16299,1,4 GB  , 64 GB  ,256GB,yes,6.4,NA,5,13,5000,0,4.4
SamsungGalaxyJ8,Blue,14990,11,4 GB  , 64 GB  ,  256 GB,yes,6,HD,16,16 + 5 ,3500,1,4.4
RealmeC1,MirrorBlack,6999,22,2 GB  , 32 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
RealmeC1,MirrorBlack,6999,22,2 GB  , 16 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
RealmeC1,MirrorBlack,8499,15,3 GB  , 32 GB  ,  256 GB,yes,6.2,HD,5,13 + 2 ,4230,1,4.4
LenovoVibeK5Note,Silver,12499,11,4 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,8,13,3500,1,4.1
LenovoK3Note,Yellow,9999,11,2 GB  , 16 GB  ,  32 GB,yes,5.5,FullHDDisplay,5,13,2900,1,4
LenovoK3Note,White,9999,11,2 GB  , 16 GB  ,  32 GB,yes,5.5,FullHDDisplay,5,13,2900,1,4
LenovoP2,Gold,16999,11,3 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,5,13,5100,1,4.3
LenovoVibeP1Turbo/VibeP1,Grey,8360,14,3 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,5,13,4900,1,3.7
LenovoK8Note,VenomBlack,9399,6,4 GB  , 64 GB  ,  128 GB,yes,5.5,FullHDDisplay,13,13 + 5 ,4000,1,4.1
MicromaxQ402+,Black,3250,24,1 GB  , 8 GB  ,  32 GB,yes,4,NA,8,5,1700,0,3.8
MicromaxBharat5InfinityEdition,MatteBlue,4749,32,1 GB  , 16 GB  ,  32 GB,yes,5.45,NA,5,5,5000,1,3.9
MicromaxCanvasTurboA250,White,17490,32,2 GB  , 16 GB  ,  32 GB,yes,5,FullHDDisplay,5,13,2000,0,3.8
MicromaxBharat2Plus,Blue,3699,26,1 GB  , 8 GB  ,  32 GB,yes,4,NA,5,5,1600,0,3.6
Realme2Pro,BlackSea,10490,25,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,16,16 + 2 ,3500,1,4.5
Realme2Pro,BlueOcean,12490,21,6 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,16,16 + 2 ,3500,1,4.5
Realme2Pro,BlackSea,12490,21,6 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,16,16 + 2 ,3500,1,4.5
Honor9i,GraphiteBlack,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
Honor9i,AuroraBlue,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
Honor9N,SapphireBlue,8999,35,3 GB  , 32 GB  ,  256 GB,yes,5.84es,NA,16,13 + 2 ,3000,0,4.4
VivoY93,StarryBlack,11990,25,4 GB  , 32 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.4
VivoY93,NebulaPurple,11990,25,4 GB  , 32 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.4
VivoV15Pro,TopazBlue,29990,14,8 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.6
VivoY95,NebulaPurple,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,20,13 + 2 ,4030,1,4.4
VivoY95,StarryBlack,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,20,13 + 2 ,4030,1,4.4
VivoV9Pro,Black,14990,16,4 GB  , 64 GB  ,  256 GB,yes,6.3,FHD,16,13 + 2 ,3260,1,4.5
VivoY91,OceanBlue,8990,25,2 GB  , 32 GB  ,  256 GB,yes,6.22,HD,8,13 + 2 ,4030,1,4.3
VivoY81i,Gold,7990,27,2 GB  , 16 GB  ,  256 GB,yes,6.22,HD,5,13,3260,1,4.4
VivoY81i,Black,7990,27,2 GB  , 16 GB  ,  256 GB,yes,6.22,HD,5,13,3260,1,4.4
VivoV7+,MatteBlack,21990,27,4 GB  , 64 GB  ,  256 GB,yes,5.99,HDDisplay,24,16,3225,1,4.4
Honor7S,Blue,5499,38,2 GB  , 16 GB  ,  256 GB,yes,5.45,NA,5,13,3020,0,4.1
RealmeU1,AmbitiousBlack,10875,9,3 GB  , 64 GB  ,  256 GB,yes,6.3,NA,16,13,3500,0,4.4
RealmeU1,AmbitiousBlack,9799,24,3 GB  , 32 GB  ,  256 GB,yes,6.3,NA,16,13,3500,0,4.4
RealmeU1,BraveBlue,9799,26,3 GB  , 32 GB  ,  256 GB,yes,6.3,NA,16,13,3500,0,4.4
MicromaxBharat5,MatteDarkBlue,5495,33,1 GB  , 16 GB  ,  32 GB,yes,5.2,NA,8,5,5000,0,3.9
MicromaxBharat5,LavaRed,4350,37,1 GB  , 16 GB  ,  32 GB,yes,5.2,NA,8,5,5000,0,3.9
MicromaxCanvasFire3A096,Black,3930,37,1 GB  , 8 GB  ,  32 GB,yes,4.5,quarterHDDisplay,2,5,1850,1,3.6
MicromaxCanvas2,Champagne,5559,1,3 GB  , 16 GB  ,  64 GB,yes,5,HDDisplay,5,13,3050,1,3.8
MicromaxBharat5Plus,JetBlack,5699,27,2 GB  , 16 GB  ,  64 GB,yes,5.2,HDDisplay,5,8,5000,1,4
MicromaxBharat4DiwaliEdition,MatteBlue,3874,22,1 GB  , 8 GB  ,  32 GB,yes,5,FWVGADisplay,2,5,2000,1,3.8
MicromaxVdeo4,Grey,3999,2,1 GB  , 8 GB  ,  32 GB,yes,5,HDDisplay,2,8,4000,1,3.6
LenovoP2,Grey/GraphiteGrey,10849,36,3 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,5,13,5100,1,4.3
LenovoVibeK5Note,Gold,8999,36,3 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,8,13,3500,1,4.1
LenovoS90OrSisleyS90,Grey,12999,36,2 GB  , 32 GB  ,128GB,yes,5,HDDisplay,8,13,2300,0,3.6
LenovoK9Note,Black,9999,16,4 GB  , 64 GB  ,  256 GB,yes,5.99,HD,8,16 + 2 ,3760,1,4.3
LenovoK9Note,white,9999,16,4 GB  , 64 GB  ,  256 GB,yes,5.99,HD,8,16 + 2 ,3760,1,4.3
NubiaRedMagic3,Black,35999,7,8 GB  , 128 GB  ,256GB,yes,6.6,FullHDDisplay,16,48,5000,1,5
NubiaRedMagic3,Red,35999,7,8 GB  , 128 GB  ,256GB,yes,6.6,FullHDDisplay,16,48,5000,1,5
VivoV15Pro,TopazBlue,29990,14,8 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.6
GooglePixel3a,JustBlack,39999,11,4 GB  , 64 GB  ,128GB,yes,5.6,FHD,8,12.2,3000,1,4.5
SamsungGalaxyA8Star,Black,18899,47,6 GB  , 64 GB  ,128GB,yes,6.3,NA,8,24,3700,0,4.3
AppleiPhone6s,SpaceGrey,29590,1,32 GB  ,64GB,128GB,yes,4.7,RetinaHDDisplay,8,12,4000,1,4.5
BlackShark2,ShadowBlack,39999,13,6 GB  , 128 GB  ,256GB,yes,6.39,NA,20,48 + 12 ,4000,1,4.7
SamsungGalaxyA9,LemonadeBlue,25990,27,6 GB  , 128 GB  ,  512 GB,yes,6.3,FHD,24,24 + 5 + 10 +8 ,3800,1,4.4
AppleiPhone6sPlus,Gold,39990,27,32 GB  ,64GB,  512 GB,yes,5.5,RetinaHDDisplay,24,12,4000,1,4.4
AppleiPhone6sPlus,Silver,39990,6,16 GB  ,64GB,  512 GB,yes,5.5,RetinaHDDisplay,24,12,3500,1,4.3
VivoV15Pro,TopazBlue,26990,18,6 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.5
GooglePixel3a,ClearlyWhite,39999,11,4 GB  , 64 GB  ,128GB,yes,5.6,FHD,8,12.2,3000,1,4.5
VivoV15Pro,RubyRed,29990,14,8 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.6
SamsungGalaxyNote8,OrchidGrey,36990,50,6 GB  , 64 GB  ,  256 GB,yes,6.3,QuadHD,8,12 + 12 ,3300,0,4.6
HTCU11,SolarRed,39999,25,6 GB  , 128 GB  ,256GB,yes,5.5,QuadHDDisplay,16,12,3000,1,4.6
HuaweiP9,TitaniumGrey,39999,25,3 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,12 + 12 ,3000,1,4.5
SamsungGalaxyA8Plus,Gold,19960,28,6 GB  , 64 GB  ,128GB,yes,6,NA,8,16,3500,0,4.3
MotoZwithStyleMod,White,39999,28,4 GB  , 64 GB  ,  2 TB,yes,5.5,QuadHDDisplay,5,13,2600,1,4.1
MotoZwithStyleMod,Black,39999,28,4 GB  , 64 GB  ,  2 TB,yes,5.5,QuadHDDisplay,5,13,2600,1,4.1
HuaweiP9,PrestigeGold,39999,28,3 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,12 + 12 ,3000,1,4.5
HuaweiP9,MysticSilver,39999,28,3 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,12 + 12 ,3000,1,4.5
OPPOR17Pro,RadiantMist,29990,40,8 GB  , 128 GB  ,256GB,yes,6.4,NA,25,12 + 20 ,3700,1,4.4
SamsungGalaxyNote8,MidnightBlack,36990,50,6 GB  , 64 GB  ,  256 GB,yes,6.3,QuadHD,8,12 + 12 ,3300,0,4.6
SamsungGalaxyNote8,MapleGold,36990,50,6 GB  , 64 GB  ,  256 GB,yes,6.3,QuadHD,8,12 + 12 ,3300,0,4.6
